state,year,term,start,end
Tas,2011,1,2011-02-15,2011-06-03
NT,2011,1,2011-01-25,2011-04-01
ACT,2011,1,2011-02-04,2011-04-15
NSW,2011,2,2011-04-26,2011-07-01
Vic,2011,2,2011-04-27,2011-07-01
Qld,2011,2,2011-04-26,2011-06-24
SA,2011,2,2011-05-02,2011-07-08
WA,2011,2,2011-05-09,2011-07-08
Tas,2011,2,2011-06-20,2011-09-02
NT,2011,2,2011-04-11,2011-06-24
ACT,2011,2,2011-05-02,2011-07-08
NSW,2011,3,2011-07-18,2011-09-23
Vic,2011,3,2011-07-18,2011-09-23
Qld,2011,3,2011-07-11,2011-09-16
SA,2011,3,2011-07-25,2011-09-30
WA,2011,3,2011-07-25,2011-09-30
Tas,2011,3,2011-09-19,2011-12-21
NT,2011,3,2011-07-25,2011-09-30
ACT,2011,3,2011-07-25,2011-09-30
NSW,2012,1,2012-01-30,2012-04-05
Vic,2012,1,2012-02-01,2012-03-30
Qld,2012,1,2012-01-23,2012-03-30
SA,2012,1,2012-01-30,2012-04-05
WA,2012,1,2012-02-01,2012-04-05
Tas,2012,1,2012-02-14,2012-06-01
NT,2012,1,2012-01-31,2012-04-05
ACT,2012,1,2012-02-03,2012-04-13
NSW,2012,2,2012-04-23,2012-06-29
Vic,2012,2,2012-04-16,2012-06-29
Qld,2012,2,2012-04-16,2012-06-22
SA,2012,2,2012-04-23,2012-06-29
WA,2012,2,2012-04-26,2012-07-06
Tas,2012,2,2012-06-18,2012-09-07
NT,2012,2,2012-04-16,2012-06-22
ACT,2012,2,2012-04-30,2012-07-06
NSW,2012,3,2012-07-16,2012-09-21
Vic,2012,3,2012-07-16,2012-09-21
Qld,2012,3,2012-07-09,2012-09-21
SA,2012,3,2012-07-16,2012-09-21
WA,2012,3,2012-07-24,2012-09-28
Tas,2012,3,2012-09-24,2012-12-20
NT,2012,3,2012-07-23,2012-09-28
ACT,2012,3,2012-07-23,2012-09-28
NSW,2013,1,2013-01-29,2013-04-12
Vic,2013,1,2013-01-30,2013-03-28
Qld,2013,1,2013-01-29,2013-03-28
SA,2013,1,2013-01-29,2013-04-12
WA,2013,1,2013-02-04,2013-04-19
Tas,2013,1,2013-02-04,2013-04-19
NT,2013,1,2013-01-29,2013-04-05
ACT,2013,1,2013-02-01,2013-04-12
NSW,2013,2,2013-04-29,2013-06-28
Vic,2013,2,2013-04-15,2013-06-28
Qld,2013,2,2013-04-15,2013-06-21
SA,2013,2,2013-04-29,2013-07-05
WA,2013,2,2013-05-06,2013-07-05
Tas,2013,2,2013-05-06,2013-07-05
NT,2013,2,2013-04-15,2013-06-21
ACT,2013,2,2013-04-29,2013-07-05
NSW,2013,3,2013-07-15,2013-09-20
Vic,2013,3,2013-07-15,2013-09-20
Qld,2013,3,2013-07-08,2013-09-20
SA,2013,3,2013-07-22,2013-09-27
WA,2013,3,2013-07-22,2013-09-27
Tas,2013,3,2013-07-22,2013-09-27
NT,2013,3,2013-07-22,2013-09-27
ACT,2013,3,2013-07-22,2013-09-27
NSW,2013,4,2013-10-08,2013-12-20
Vic,2013,4,2013-10-07,2013-12-20
Qld,2013,4,2013-10-08,2013-12-13
SA,2013,4,2013-10-14,2013-12-13
WA,2013,4,2013-10-14,2013-12-19
Tas,2013,4,2013-10-14,2013-12-19
NT,2013,4,2013-10-07,2013-12-12
ACT,2013,4,2013-10-14,2013-12-20
NSW,2014,1,2014-01-28,2014-04-11
Vic,2014,1,2014-01-28,2014-04-04
Qld,2014,1,2014-01-28,2014-04-04
SA,2014,1,2014-01-28,2014-04-11
WA,2014,1,2014-02-03,2014-04-11
Tas,2014,1,2014-02-05,2014-04-17
NT,2014,1,2014-01-24,2014-04-04
ACT,2014,1,2014-01-31,2014-04-11
NSW,2014,2,2014-04-28,2014-06-27
Vic,2014,2,2014-04-22,2014-06-27
Qld,2014,2,2014-04-22,2014-06-27
SA,2014,2,2014-04-28,2014-07-04
WA,2014,2,2014-04-28,2014-07-04
Tas,2014,2,2014-05-05,2014-07-04
NT,2014,2,2014-04-14,2014-06-20
ACT,2014,2,2014-04-28,2014-07-04
NSW,2014,3,2014-07-14,2014-09-19
Vic,2014,3,2014-07-14,2014-09-19
Qld,2014,3,2014-07-14,2014-09-19
SA,2014,3,2014-07-21,2014-09-26
WA,2014,3,2014-07-21,2014-09-26
Tas,2014,3,2014-07-21,2014-09-26
NT,2014,3,2014-07-21,2014-09-26
ACT,2014,3,2014-07-21,2014-09-26
NSW,2014,4,2014-10-07,2014-12-19
Vic,2014,4,2014-10-06,2014-12-19
Qld,2014,4,2014-10-07,2014-12-12
SA,2014,4,2014-10-13,2014-12-12
WA,2014,4,2014-10-13,2014-12-18
Tas,2014,4,2014-10-13,2014-12-18
NT,2014,4,2014-10-06,2014-12-11
ACT,2014,4,2014-10-13,2014-12-17
NSW,2015,1,2015-01-28,2015-04-02
Vic,2015,1,2015-01-29,2015-03-27
Qld,2015,1,2015-01-28,2015-04-02
SA,2015,1,2015-01-27,2015-04-10
WA,2015,1,2015-02-02,2015-04-02
Tas,2015,1,2015-02-04,2015-04-02
NT,2015,1,2015-01-27,2015-04-02
ACT,2015,1,2015-02-02,2015-04-10
NSW,2015,2,2015-04-21,2015-06-26
Vic,2015,2,2015-04-13,2015-06-26
Qld,2015,2,2015-04-20,2015-06-26
SA,2015,2,2015-04-27,2015-07-03
WA,2015,2,2015-04-20,2015-07-03
Tas,2015,2,2015-04-20,2015-07-03
NT,2015,2,2015-04-13,2015-06-19
ACT,2015,2,2015-04-27,2015-07-03
NSW,2015,3,2015-07-14,2015-09-18
Vic,2015,3,2015-07-13,2015-09-18
Qld,2015,3,2015-07-13,2015-09-18
SA,2015,3,2015-07-20,2015-09-25
WA,2015,3,2015-07-20,2015-09-25
Tas,2015,3,2015-07-20,2015-09-25
NT,2015,3,2015-07-21,2015-09-25
ACT,2015,3,2015-07-20,2015-09-25
NSW,2015,4,2015-10-06,2015-12-16
Vic,2015,4,2015-10-05,2015-12-18
Qld,2015,4,2015-10-06,2015-12-11
SA,2015,4,2015-10-12,2015-12-11
WA,2015,4,2015-10-12,2015-12-17
Tas,2015,4,2015-10-12,2015-12-17
NT,2015,4,2015-10-04,2015-12-10
ACT,2015,4,2015-10-12,2015-12-18
NSW,2016,1,2016-01-28,2016-04-08
Vic,2016,1,2016-01-27,2016-03-24
Qld,2016,1,2016-01-27,2016-03-24
SA,2016,1,2016-02-01,2016-04-15
WA,2016,1,2016-02-01,2016-04-08
Tas,2016,1,2016-02-03,2016-04-08
NT,2016,1,2016-01-22,2016-04-01
ACT,2016,1,2016-02-01,2016-04-08
NSW,2016,2,2016-04-27,2016-07-01
Vic,2016,2,2016-04-11,2016-06-24
Qld,2016,2,2016-04-11,2016-06-24
SA,2016,2,2016-05-02,2016-07-08
WA,2016,2,2016-04-26,2016-07-01
Tas,2016,2,2016-04-26,2016-07-01
NT,2016,2,2016-04-11,2016-06-24
ACT,2016,2,2016-04-26,2016-07-01
NSW,2016,3,2016-07-19,2016-09-23
Vic,2016,3,2016-07-11,2016-09-16
Qld,2016,3,2016-07-11,2016-09-16
SA,2016,3,2016-07-25,2016-09-30
WA,2016,3,2016-07-18,2016-09-23
Tas,2016,3,2016-07-18,2016-09-23
NT,2016,3,2016-07-25,2016-09-30
ACT,2016,3,2016-07-18,2016-09-23
NSW,2016,4,2016-10-10,2016-12-20
Vic,2016,4,2016-10-03,2016-12-20
Qld,2016,4,2016-10-04,2016-12-09
SA,2016,4,2016-10-17,2016-12-16
WA,2016,4,2016-10-10,2016-12-15
Tas,2016,4,2016-10-10,2016-12-22
NT,2016,4,2016-10-10,2016-12-16
ACT,2016,4,2016-10-10,2016-12-16
NSW,2017,1,2017-01-30,2017-04-07
Vic,2017,1,2017-01-30,2017-03-31
Qld,2017,1,2017-01-23,2017-03-31
SA,2017,1,2017-01-30,2017-04-13
WA,2017,1,2017-02-01,2017-04-07
Tas,2017,1,2017-02-08,2017-04-13
NT,2017,1,2017-01-27,2017-04-07
ACT,2017,1,2017-01-30,2017-04-07
NSW,2017,2,2017-04-26,2017-06-30
Vic,2017,2,2017-04-18,2017-06-30
Qld,2017,2,2017-04-18,2017-06-23
SA,2017,2,2017-05-01,2017-07-07
WA,2017,2,2017-04-24,2017-06-30
Tas,2017,2,2017-05-01,2017-07-07
NT,2017,2,2017-04-18,2017-06-23
ACT,2017,2,2017-04-26,2017-06-30
NSW,2017,3,2017-07-18,2017-09-22
Vic,2017,3,2017-07-17,2017-09-22
Qld,2017,3,2017-07-10,2017-09-15
SA,2017,3,2017-07-24,2017-09-29
WA,2017,3,2017-07-17,2017-09-22
Tas,2017,3,2017-07-24,2017-09-29
NT,2017,3,2017-07-24,2017-09-29
ACT,2017,3,2017-07-17,2017-09-22
NSW,2017,4,2017-10-09,2017-12-15
Vic,2017,4,2017-10-09,2017-12-22
Qld,2017,4,2017-10-03,2017-12-08
SA,2017,4,2017-10-16,2017-12-15
WA,2017,4,2017-10-09,2017-12-14
Tas,2017,4,2017-10-16,2017-12-21
NT,2017,4,2017-10-09,2017-12-15
ACT,2017,4,2017-10-09,2017-12-15
NSW,2018,1,2018-01-30,2018-04-13
Vic,2018,1,2018-01-29,2018-03-29
Qld,2018,1,2018-01-22,2018-03-29
SA,2018,1,2018-01-29,2018-04-13
WA,2018,1,2018-01-31,2018-04-13
Tas,2018,1,2018-02-07,2018-04-12
NT,2018,1,2018-01-29,2018-04-13
ACT,2018,1,2018-02-05,2018-04-13
NSW,2018,2,2018-04-30,2018-07-06
Vic,2018,2,2018-04-16,2018-06-29
Qld,2018,2,2018-04-17,2018-06-29
SA,2018,2,2018-04-30,2018-07-06
WA,2018,2,2018-04-30,2018-06-29
Tas,2018,2,2018-04-30,2018-07-06
NT,2018,2,2018-04-23,2018-06-29
ACT,2018,2,2018-04-30,2018-07-06
NSW,2018,3,2018-07-23,2018-09-28
Vic,2018,3,2018-07-16,2018-09-21
Qld,2018,3,2018-07-16,2018-09-21
SA,2018,3,2018-07-23,2018-09-28
WA,2018,3,2018-07-16,2018-09-21
Tas,2018,3,2018-07-23,2018-09-28
NT,2018,3,2018-07-24,2018-09-28
ACT,2018,3,2018-07-23,2018-09-28
NSW,2018,4,2018-10-15,2018-12-21
Vic,2018,4,2018-10-08,2018-12-21
Qld,2018,4,2018-10-08,2018-12-14
SA,2018,4,2018-10-15,2018-12-14
WA,2018,4,2018-10-08,2018-12-13
Tas,2018,4,2018-10-15,2018-12-20
NT,2018,4,2018-10-15,2018-12-13
ACT,2018,4,2018-10-15,2018-12-21
NSW,2019,1,2019-01-29,2019-04-12
Vic,2019,1,2019-01-29,2019-04-05
Qld,2019,1,2019-01-29,2019-04-05
SA,2019,1,2019-01-29,2019-04-12
WA,2019,1,2019-02-04,2019-04-12
Tas,2019,1,2019-02-06,2019-04-12
NT,2019,1,2019-01-29,2019-04-12
ACT,2019,1,2019-02-04,2019-04-12
NSW,2019,2,2019-04-29,2019-07-05
Vic,2019,2,2019-04-23,2019-06-28
Qld,2019,2,2019-04-23,2019-06-28
SA,2019,2,2019-04-29,2019-07-05
WA,2019,2,2019-04-29,2019-07-05
Tas,2019,2,2019-04-29,2019-07-05
NT,2019,2,2019-04-23,2019-06-28
ACT,2019,2,2019-04-29,2019-07-05
NSW,2019,3,2019-07-22,2019-09-27
Vic,2019,3,2019-07-15,2019-09-20
Qld,2019,3,2019-07-15,2019-09-20
SA,2019,3,2019-07-22,2019-09-27
WA,2019,3,2019-07-22,2019-09-27
Tas,2019,3,2019-07-22,2019-09-27
NT,2019,3,2019-07-23,2019-09-27
ACT,2019,3,2019-07-22,2019-09-27
NSW,2019,4,2019-10-14,2019-12-20
Vic,2019,4,2019-10-07,2019-12-20
Qld,2019,4,2019-10-08,2019-12-13
SA,2019,4,2019-10-14,2019-12-13
WA,2019,4,2019-10-14,2019-12-19
Tas,2019,4,2019-10-14,2019-12-19
NT,2019,4,2019-10-14,2019-12-12
ACT,2019,4,2019-10-14,2019-12-19
NSW,2020,1,2020-01-28,2020-04-09
Vic,2020,1,2020-01-28,2020-03-24
Qld,2020,1,2020-01-28,2020-04-03
SA,2020,1,2020-01-28,2020-04-09
WA,2020,1,2020-02-03,2020-04-09
Tas,2020,1,2020-02-05,2020-04-03
NT,2020,1,2020-01-28,2020-04-09
ACT,2020,1,2020-02-03,2020-04-09
NSW,2020,2,2020-04-27,2020-07-03
Vic,2020,2,2020-04-14,2020-06-26
Qld,2020,2,2020-04-20,2020-06-26
SA,2020,2,2020-04-27,2020-07-03
WA,2020,2,2020-04-28,2020-07-03
Tas,2020,2,2020-04-28,2020-07-03
NT,2020,2,2020-04-20,2020-06-26
ACT,2020,2,2020-04-28,2020-07-03
NSW,2020,3,2020-07-20,2020-09-25
Vic,2020,3,2020-07-13,2020-09-18
Qld,2020,3,2020-07-13,2020-09-18
SA,2020,3,2020-07-20,2020-09-25
WA,2020,3,2020-07-20,2020-09-25
Tas,2020,3,2020-07-21,2020-09-25
NT,2020,3,2020-07-21,2020-09-25
ACT,2020,3,2020-07-20,2020-09-25
NSW,2020,4,2020-10-12,2020-12-18
Vic,2020,4,2020-10-05,2020-12-18
Qld,2020,4,2020-10-06,2020-12-11
SA,2020,4,2020-10-12,2020-12-11
WA,2020,4,2020-10-12,2020-12-17
Tas,2020,4,2020-10-12,2020-12-17
NT,2020,4,2020-10-12,2020-12-17
ACT,2020,4,2020-10-12,2020-12-18
NSW,2021,1,2021-01-27,2021-04-01
Vic,2021,1,2021-01-27,2021-04-01
Qld,2021,1,2021-01-27,2021-04-01
SA,2021,1,2021-01-27,2021-04-09
WA,2021,1,2021-02-01,2021-04-01
Tas,2021,1,2021-02-03,2021-04-09
NT,2021,1,2021-02-01,2021-04-09
ACT,2021,1,2021-02-01,2021-04-01
NSW,2021,2,2021-04-19,2021-06-25
Vic,2021,2,2021-04-19,2021-06-25
Qld,2021,2,2021-04-19,2021-06-25
SA,2021,2,2021-04-27,2021-07-02
WA,2021,2,2021-04-19,2021-07-02
Tas,2021,2,2021-04-26,2021-07-02
NT,2021,2,2021-04-19,2021-06-25
ACT,2021,2,2021-04-19,2021-06-25
NSW,2021,3,2021-07-12,2021-09-17
Vic,2021,3,2021-07-12,2021-09-17
Qld,2021,3,2021-07-12,2021-09-17
SA,2021,3,2021-07-19,2021-09-24
WA,2021,3,2021-07-19,2021-09-24
Tas,2021,3,2021-07-20,2021-09-24
NT,2021,3,2021-07-20,2021-09-24
ACT,2021,3,2021-07-12,2021-09-17
NSW,2021,4,2021-10-05,2021-12-17
Vic,2021,4,2021-10-04,2021-12-17
Qld,2021,4,2021-10-05,2021-12-10
SA,2021,4,2021-10-11,2021-12-10
WA,2021,4,2021-10-11,2021-12-16
Tas,2021,4,2021-10-11,2021-12-16
NT,2021,4,2021-10-11,2021-12-16
ACT,2021,4,2021-10-05,2021-12-17
NSW,2022,1,2022-01-28,2022-04-08
Vic,2022,1,2022-01-31,2022-04-08
Qld,2022,1,2022-01-24,2022-04-01
SA,2022,1,2022-01-31,2022-04-14
WA,2022,1,2022-01-31,2022-04-08
Tas,2022,1,2022-02-09,2022-04-14
NT,2022,1,2022-01-31,2022-04-08
ACT,2022,1,2022-01-28,2022-04-08
NSW,2022,2,2022-04-26,2022-07-01
Vic,2022,2,2022-04-26,2022-06-24
Qld,2022,2,2022-04-19,2022-06-24
SA,2022,2,2022-05-02,2022-07-08
WA,2022,2,2022-04-26,2022-07-01
Tas,2022,2,2022-05-02,2022-07-08
NT,2022,2,2022-04-19,2022-06-24
ACT,2022,2,2022-04-26,2022-07-01
NSW,2022,3,2022-07-18,2022-09-23
Vic,2022,3,2022-07-11,2022-09-16
Qld,2022,3,2022-07-11,2022-09-16
SA,2022,3,2022-07-25,2022-09-30
WA,2022,3,2022-07-18,2022-09-23
Tas,2022,3,2022-07-25,2022-09-30
NT,2022,3,2022-07-19,2022-09-23
ACT,2022,3,2022-07-18,2022-09-23
NSW,2022,4,2022-10-10,2022-12-20
Vic,2022,4,2022-10-04,2022-12-20
Qld,2022,4,2022-10-04,2022-12-09
SA,2022,4,2022-10-17,2022-12-16
WA,2022,4,2022-10-10,2022-12-15
Tas,2022,4,2022-10-17,2022-12-21
NT,2022,4,2022-10-10,2022-12-15
ACT,2022,4,2022-10-10,2022-12-16
NSW,2023,1,2023-01-27,2023-04-06
Vic,2023,1,2023-01-30,2023-04-06
Qld,2023,1,2023-01-23,2023-03-31
SA,2023,1,2023-01-30,2023-04-14
WA,2023,1,2023-02-01,2023-04-06
Tas,2023,1,2023-01-30,2023-04-14
NT,2023,1,2023-01-31,2023-04-06
ACT,2023,1,2023-01-27,2023-04-06
NSW,2023,2,2023-04-24,2023-06-30
Vic,2023,2,2023-04-24,2023-06-23
Qld,2023,2,2023-04-17,2023-06-23
SA,2023,2,2023-05-01,2023-07-07
WA,2023,2,2023-04-24,2023-06-30
Tas,2023,2,2023-05-01,2023-07-07
NT,2023,2,2023-04-17,2023-06-23
ACT,2023,2,2023-04-24,2023-06-30
NSW,2023,3,2023-07-17,2023-09-22
Vic,2023,3,2023-07-10,2023-09-15
Qld,2023,3,2023-07-10,2023-09-15
SA,2023,3,2023-07-24,2023-09-29
WA,2023,3,2023-07-17,2023-09-22
Tas,2023,3,2023-07-24,2023-09-29
NT,2023,3,2023-07-18,2023-09-22
ACT,2023,3,2023-07-17,2023-09-22
NSW,2023,4,2023-10-09,2023-12-19
Vic,2023,4,2023-10-02,2023-12-20
Qld,2023,4,2023-10-03,2023-12-08
SA,2023,4,2023-10-16,2023-12-15
WA,2023,4,2023-10-09,2023-12-14
Tas,2023,4,2023-10-12,2023-12-18
NT,2023,4,2023-10-09,2023-12-15
ACT,2023,4,2023-10-09,2023-12-15
NSW,2024,1,2024-01-30,2024-04-12
Vic,2024,1,2024-01-29,2024-03-28
Qld,2024,1,2024-01-22,2024-03-28
SA,2024,1,2024-01-29,2024-04-12
WA,2024,1,2024-01-31,2024-03-28
Tas,2024,1,2024-01-29,2024-04-12
NT,2024,1,2024-01-30,2024-04-05
ACT,2024,1,2024-01-30,2024-04-12
NSW,2024,2,2024-04-29,2024-07-05
Vic,2024,2,2024-04-15,2024-06-28
Qld,2024,2,2024-04-15,2024-06-21
SA,2024,2,2024-04-29,2024-07-05
WA,2024,2,2024-04-15,2024-06-28
Tas,2024,2,2024-04-29,2024-07-05
NT,2024,2,2024-04-15,2024-06-21
ACT,2024,2,2024-04-29,2024-07-05
NSW,2024,3,2024-07-22,2024-09-27
Vic,2024,3,2024-07-15,2024-09-20
Qld,2024,3,2024-07-08,2024-09-13
SA,2024,3,2024-07-22,2024-09-27
WA,2024,3,2024-07-15,2024-09-20
Tas,2024,3,2024-07-22,2024-09-27
NT,2024,3,2024-07-16,2024-09-20
ACT,2024,3,2024-07-22,2024-09-27
NSW,2024,4,2024-10-14,2024-12-20
Vic,2024,4,2024-10-07,2024-12-20
Qld,2024,4,2024-09-30,2024-12-13
SA,2024,4,2024-10-14,2024-12-13
WA,2024,4,2024-10-07,2024-12-12
Tas,2024,4,2024-10-14,2024-12-16
NT,2024,4,2024-10-07,2024-12-13
ACT,2024,4,2024-10-14,2024-12-17
